network,mode,total_persons,total_persons_generated,unfinished_persons,completion_rate_pct,transit_riders,walk_only,transit_share_pct,rider_avg_travel_time,rider_avg_waiting_time,rider_avg_riding_time,rider_avg_ride_distance_km,rider_avg_walking_time,rider_avg_walking_distance_m,rider_avg_speed_kmh,rider_avg_time_loss,rider_avg_ride_time_loss,rider_avg_walk_time_loss,rider_avg_ride_waiting_time,walker_avg_travel_time,walker_avg_walking_time,walker_avg_walking_distance_m,walker_avg_speed_kmh,walker_avg_time_loss,walker_avg_walk_time_loss,all_avg_travel_time,all_avg_walking_time,all_avg_walking_distance_m,all_avg_speed_kmh,all_avg_time_loss,all_avg_walk_time_loss,bus_count,total_mileage_km,avg_mileage_km,total_customers,avg_customers_per_bus,drt_requests_served,occupied_distance_km,occupancy_rate_pct,vehicle_km,occupied_km,passenger_km,avg_occupancy_pax_per_veh,max_onboard,max_onboard_vehicle_id,km_per_passenger
5x5_DRT15,drt,94,94,0,100.0,94,0,100.0,628.1063829787234,330.4255319148936,297.6808510638298,1.9919476595744676,0.0,0.0,11.710293184729087,125.50627659574468,125.50627659574468,0.0,0,0,0,0,0,0,0,628.1063829787234,0.0,0.0,11.71029318472909,125.50627659574468,0.0,15,169.96362,11.330907999999999,94,6.266666666666667,94,122.36287999999999,71.993571330147,169.96362,122.36287999999999,187.24307999999996,1.5302277945729945,4,odVan05,1.8081236170212764
5x5_DRT15,drt,80,80,0,100.0,80,0,100.0,661.525,344.1,317.425,2.08477675,0.0,0.0,11.724431750152778,126.917625,126.917625,0.0,0,0,0,0,0,0,0,661.525,0.0,0.0,11.724431750152778,126.917625,0.0,15,138.61575999999997,9.241050666666665,80,5.333333333333333,80,100.27205000000002,72.33813096000054,138.61575999999997,100.27205000000002,166.78214000000003,1.6632964021379835,4,odVan04,1.7326969999999995
5x5_DRT15,drt,145,149,4,97.31543624161074,145,0,100.0,724.0068965517241,389.2551724137931,334.75172413793103,2.173558689655173,0.0,0.0,11.20002053008752,143.56213793103447,143.56213793103447,0.0,0,0,0,0,0,0,0,724.0068965517241,0.0,0.0,11.200020530087519,143.56213793103447,0.0,15,255.11795,17.007863333333333,145,9.666666666666666,145,187.82000000000002,73.6208487093911,255.11795,187.82000000000002,316.83378,1.6869011819827493,5,odVan04,1.7594341379310345
5x5_DRT15,drt,132,132,0,100.0,132,0,100.0,686.8257575757576,367.4318181818182,319.3939393939394,2.0892492424242426,0.0,0.0,11.54068052552929,135.3594696969697,135.3594696969697,0.0,0,0,0,0,0,0,0,686.8257575757576,0.0,0.0,11.54068052552929,135.3594696969697,0.0,15,227.67304000000001,15.178202666666667,132,8.8,132,165.71834,72.78786280536335,227.67304000000001,165.71834,275.78090000000003,1.6641543718094207,5,odVan25,1.7247957575757578
5x5_DRT15,drt,136,136,0,100.0,136,0,100.0,722.0955882352941,382.25,339.84558823529414,2.131884632352941,0.0,0.0,11.07518869414408,146.9964705882353,146.9964705882353,0.0,0,0,0,0,0,0,0,722.0955882352941,0.0,0.0,11.07518869414408,146.9964705882353,0.0,15,222.59971,14.839980666666666,136,9.066666666666666,136,170.68491999999998,76.67796153013855,222.59971,170.68491999999998,289.93631,1.6986638889949974,5,odVan05,1.6367625735294116
5x5_DRT30,drt,149,149,0,100.0,149,0,100.0,688.6711409395973,342.69127516778525,345.97986577181206,2.2346884563758387,0.0,0.0,12.01619280511851,151.29818791946306,151.29818791946306,0.0,0,0,0,0,0,0,0,688.6711409395973,0.0,0.0,12.01619280511851,151.2981879194631,0.0,30,286.41246,9.547082,149,4.966666666666667,149,204.07333999999997,71.25155798040349,286.41246,204.07333999999997,332.96858,1.6316123409358616,4,odVan11,1.9222312751677852
5x5_DRT30,drt,132,132,0,100.0,132,0,100.0,723.9318181818181,375.65909090909093,348.27272727272725,2.210925681818182,0.0,0.0,11.395254644687798,152.7030303030303,152.7030303030303,0.0,0,0,0,0,0,0,0,723.9318181818181,0.0,0.0,11.3952546446878,152.7030303030303,0.0,30,239.56835,7.985611666666667,132,4.4,132,175.6909,73.33644031024966,239.56835,175.6909,291.84219,1.6611115885910996,4,odVan11,1.8149117424242425
5x5_DRT30,drt,136,136,0,100.0,136,0,100.0,669.9485294117648,366.38235294117646,303.56617647058823,1.948291911764706,0.0,0.0,10.882264265313806,131.80132352941177,131.80132352941177,0.0,0,0,0,0,0,0,0,669.9485294117648,0.0,0.0,10.882264265313806,131.80132352941177,0.0,30,239.65028999999998,7.9883429999999995,136,4.533333333333333,136,166.00571000000002,69.26998085418549,239.65028999999998,166.00571000000002,264.96770000000004,1.5961360606210473,5,odVan11,1.7621344852941174
5x5_DRT30,drt,181,181,0,100.0,181,0,100.0,745.0110497237569,374.8011049723757,370.2099447513812,2.3098223756906076,0.0,0.0,11.424925652994103,159.53767955801104,159.53767955801104,0.0,0,0,0,0,0,0,0,745.0110497237569,0.0,0.0,11.424925652994103,159.53767955801104,0.0,30,305.83531,10.194510333333334,181,6.033333333333333,181,225.06580000000002,73.59052164382197,305.83531,225.06580000000002,418.07784999999996,1.8575805386691355,5,odVan19,1.6896978453038674
5x5_DRT30,drt,170,170,0,100.0,170,0,100.0,747.1529411764706,383.7352941176471,363.41764705882355,2.2770125294117647,0.0,0.0,11.313605928086396,159.27464705882355,159.27464705882355,0.0,0,0,0,0,0,0,0,747.1529411764706,0.0,0.0,11.313605928086398,159.27464705882352,0.0,30,304.82626999999997,10.160875666666666,170,5.666666666666667,170,220.20966,72.24103749325805,304.82626999999997,220.20966,387.09213,1.7578344655724911,5,odVan10,1.7930957058823527
5x5_DRT30,drt,185,185,0,100.0,185,0,100.0,708.8324324324325,359.36756756756756,349.46486486486486,2.192175567567568,0.0,0.0,11.534224204667073,151.4888108108108,151.4888108108108,0.0,0,0,0,0,0,0,0,708.8324324324325,0.0,0.0,11.53422420466707,151.4888108108108,0.0,30,311.77919999999995,10.392639999999998,185,6.166666666666667,185,231.03110999999998,74.1008733103427,311.77919999999995,231.03110999999998,405.55248,1.7554020322198167,5,odVan20,1.6852929729729726
5x5_DRT30,drt,227,227,0,100.0,227,0,100.0,664.8546255506608,341.18502202643174,323.6696035242291,2.0857654185022025,0.0,0.0,11.52094318753281,141.55008810572687,141.55008810572687,0.0,0,0,0,0,0,0,0,664.8546255506608,0.0,0.0,11.52094318753281,141.55008810572687,0.0,30,413.10329,13.770109666666666,227,7.566666666666666,227,287.24393999999995,69.53320076438992,413.10329,287.24393999999995,473.46875,1.6483158878826132,4,odVan05,1.819838281938326
5x5_DRT30,drt,243,243,0,100.0,243,0,100.0,681.9135802469136,338.1111111111111,343.8024691358025,2.1758219341563785,0.0,0.0,11.818193177778747,144.5681069958848,144.5681069958848,0.0,0,0,0,0,0,0,0,681.9135802469136,0.0,0.0,11.818193177778747,144.5681069958848,0.0,30,377.46165999999994,12.582055333333331,243,8.1,243,279.77769,74.12082329103306,377.46165999999994,279.77769,528.72473,1.8898030432662447,6,odVan08,1.5533401646090532
